data_set	model	group_name	meta	Terms	Time	Response	Sample_classification	drug	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:FezakinumabNL	W12_vs_W0		NL	Fezakinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:PlaceboL	W12_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:PlaceboNL	W12_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:PlaceboL	W16_vs_W0		L	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:PlaceboNL	W16_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:SecukinumabL	W16_vs_W0		L	Secukinumab	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:SecukinumabNL	W16_vs_W0		NL	Secukinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:FezakinumabL	W4_vs_W0		L	Fezakinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:FezakinumabNL	W4_vs_W0		NL	Fezakinumab	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W4_vs_W0:PlaceboL	W4_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:PlaceboL	W4_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:PlaceboNL	W4_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W4_vs_W0:SecukinumabL	W4_vs_W0		L	Secukinumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W0:R_L_vs_NR_L	Baseline		L	Dupilumab	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16:R_L_vs_NR_L	W16		L	Dupilumab	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:R_L_vs_NR_L					
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4:R_L_vs_NR_L	W4		L	R_L_vs	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:R_L_vs_NR_L					
